Comentario,Sentimiento
mulher do henrique vendo isso,5 stars
faz eu tambem quero ser feliz,5 stars
faz,4 stars
é pago esse app,5 stars
alguém ensina fazer isso gente,4 stars
apaga essa porra,1 star
mulher dele claramente desconfortável kkkkk,1 star
eu doida pra fazer um vídeo desse com marido do outros tendo meu marido,1 star
falta respeito com meu casamento,2 stars
sou doida pra fazer postar kkkk ma meu marido diz tenho muita coisa do henrique juliano aqui em casa eu faço vídeo fico solteira,1 star
não adianta postar isso eu não vou largar dele,1 star
faz isso pelo amor deus,5 stars
amiga faz isso pelo amoooor deus quero em minha mesa agora,5 stars
faz genteee,5 stars
kkkkkkkkkk amanda rindo horrores em casa beijando verdadeiro,5 stars
agora tiktok foi longe mais vou fazer,3 stars
mulher dele vai ver isso gente,1 star
ensinaaa,4 stars
qual aplicativo,3 stars
traindo henrique não acredito,1 star
eu com ciúmes da montagem,1 star
eu tirava print colocava papel parede do celular kkkkkkkkkkkkkkk,1 star
gente quero ser feliz fala aí faz,5 stars
sou bnt story,4 stars
,4 stars
você não tinha esse direito,1 star
é craro é uma trolagem,1 star
montagem,4 stars
corno sempre é último saber mesmo ainda descobrindo pelo tiktok kkkk,5 stars
isso é uma falta respeito com nosso casamento,1 star
descobrindo agora eu não sou única na vida dele,3 stars
faz isso,4 stars
q faz,5 stars
pela intimidade caso é antigo,5 stars
,4 stars
ma ficou perfeito demaaaaaaaiss,3 stars
meu deus fizeram isso com meu marido,5 stars
apaga essa bosta,1 star
só lamento não vou largar ele mesmo,1 star
fiquei cm ciúmes,1 star
literalmente realidade ou fantasia kkkkkkkkkkkkk,5 stars
mulher dele q desculpe ma eu tenho q ser feliz tmbm,5 stars
ninguém respeita meu casamento msm não,1 star
q tenho ciúmes,1 star
,4 stars
ah não meu marido não,1 star
sonho toda nós kkk,5 stars
eu tbm quero ser feliz vey q faz,5 stars
fiquei com ciúmes tchau,1 star
odeio quando fazem montagem com meu marido,5 stars
kakaakakaakka vou mandar pra aquela pessoa fã do neymar akakakakk,1 star
meu ney não é assim não,1 star
neymar tá na forma ser mascote do time,5 stars
coitado do neymar alguém ajuda ele,5 stars
slk não compensa,2 stars
isso é publi,5 stars
é real,5 stars
faz esses vídeos,5 stars
ele disse isso mesmo,1 star
parte doi favor,5 stars
minha fy odeia,1 star
vcs fazem a vozes,5 stars
meu pai posta isso status,5 stars
kakaka,4 stars
kaalalakakakakakakkakaakakakkakakaak,3 stars
ahahahahaha,1 star
cade parte doi,1 star
socorro,5 stars
sinal pra eu ir dormir,1 star
coitadinho do neymar,5 stars
fala q é mim eu gosto mc donald,5 stars
kk,3 stars
ksksk md,3 stars
kkkkkkkk,3 stars
oloko,3 stars
kkkkkkkkk,3 stars
isso não vai prestar,1 star
socorro,5 stars
organizando minha fy,5 stars
não tankei vei akkakakaka,1 star
mano,5 stars
qual ia,3 stars
vao meu ultimo video pfv,5 stars
neymar,1 star
oloko,3 stars
ma isso não é crime,1 star
md,3 stars
vey olha isso kkk,1 star
,4 stars
,4 stars
,4 stars
,4 stars
heven snake,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
isso não fica muito legal madrugada não kk,1 star
blood of jesus power,5 stars
eu não vou conseguir dormir,1 star
eh melhor parar aqui,1 star
,4 stars
,4 stars
ai stop this,1 star
oloko,3 stars
md,3 stars
problem dey,3 stars
faz,4 stars
md,3 stars
video da escalofríos,1 star
aparecía michael jackson transformado,5 stars
,4 stars
,4 stars
carol,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
rosimeri,3 stars
,4 stars
seaart é muito boa msm,5 stars
ele fala fosse simple ruim é tem pagar,1 star
pq seaart tem tantas mulheres daquel jeito kkkkkk md não aguento mais,1 star
aplicativo são muito caros,1 star
bora abraço,4 stars
essa mania falar é graça quando chega pra fazer criativo tá lá pegadinha,5 stars
é pago,5 stars
coisa mais difícil é achar prompt certo gerar a imagens mesclar animais tem alguma orientação isto,3 stars
graça não pô só 3 dia,1 star
nossa parece ser muito fácil ma só consigo uma vez depois eles cobram,3 stars
beleza,3 stars
kwai isso não funciona pq lá é vídeos original,1 star
seaart leonardo ia a melhores do mercado caso tenham outras sugestões mandem mim naqui,3 stars
ma baixa imagem pq pede pra pressionar n vai,2 stars
