comment,sentiment
Gracias mi canal favorito un saludo desde suiza 🇨🇭,5 stars
"Creó que se equivocó no era Stargate, era Skynet",1 star
Habia escuchado de los anuncios de mas de 20 minutos en Youtube pero no me esperaba que fuera real,2 stars
Adoro este canalll me pone la piel de gallinaaaaa,5 stars
Eso mismo decian antes de llegar deeseek y ahora los tiene es ascuas,1 star
"La mentalidad de estados unidos 
Es:
Yo soy el mejor en todo y si no lo soy en algo nadie lo es",5 stars
"Me encantan tus videos, son realmente informativos ️",5 stars
"Buen dato, espero esto sea para el bien común y no le estén poniendo la soga al cuello a toda la humanidad",4 stars
"Para cuando estados unidos consiga un avance en estas nuevas inversiones, china ya les llevará años de ventaja. Justo como ahora.",5 stars
Gracias muy bueno y saludable.,5 stars
Despues de Deepseek el proyecto Stargate seria una broma de mal gusto para los inversores.,1 star
"Aun es pronto ed un camino largo, los resultados lo verán dentro de 40 a 50 años, el mundo sera diferente junto a una generación de humanos diferentes.",4 stars
"La ecuación es muy simple, el ser humano está envejeciendo, es decir nos estamos llenando de viejos y hay que estar preparados para afrontar lo que ello conlleva(enfermedades, cuidados etc) es inminente el uso de inteligencia artificial ya que serán los cimientos que soporten la nueva era.",2 stars
Excelente contenido,5 stars
"Ojo! Es anuncio DICE:Stargate, NO ES STAR LAKES.",1 star
mientras ellos dicen que es muy poco dinero otros dicen como deepseek que lo pueden hacer mucho mas barato. Al fin que?,1 star
Tres. Gracias TRUMP,3 stars
Buena informacion,4 stars
"Y que pasa cuando la iA sea autónoma, y no es necesario que lo configuren para hacerlo. Según sea los objetivos que tenga con el proyecto, puede llagar hacerlo en corto tiempo. Y quien va poder controlar a un ser que 10veces más inteligente que cualquier otro científico, que entiende y sabe de diferentes materia desde las matemáticas hasta las sociales. Deberían de pensar que las IA son un herramienta de doble filo, que más temprano que tarde perderemos totalmente el control. Si es que no lo está haciendo ya",3 stars
y que paso antes de la creacion de scarlet ? pues...,1 star
"Alguien más notó el parecido scanet ""scainet""",1 star
Q bien,4 stars
"si la ia mejora es para bien y mal. 
Las armas nunca fueron buenas o malas , las que los empuñan son los que son una u otra cosa.",2 stars
Trump está haciendo a América grande otra vez!,5 stars
SKYNET reference,5 stars
John Connor tenía razón skynet existe,1 star
Y en dos años China los vuelve a super con una inversión de 5MUSD.,5 stars
TRUMP VAS HACER NUEVAMENTE A EEUU GRANDE,5 stars
Lo sabiaaa ninguno de esos tres son tontosss,1 star
Yo quiero invertir $10 USD.,1 star
Primero.,5 stars
Una burbuja,1 star
"Al escuchar a Lourdes me quedo  porque mi abuela paterna con la cual me crié me hablaba de estos tres días de oscuridad  me decía: "" tienes que estar preparada siempre debes tener velas benditas, fósforos benditos de madera, agua bendita y comida, porque llegara el día de los últimos tiempos donde serán 3 días de oscuridad debes tapar tus ventanas, cerrar las puertas, y no salir, en las calles afuera abra demonios haciéndose pasar x nuestros familiares ya fallecidos, hija si me ves que te llamo o toco tu puerta ten la seguridad que no soy yo, ni se te ocurra abrir porque si lo haces morirás, yo se que yo no estaré puede ser que tu si alcances a ver esto por eso debes prepararte""  siempre me lo decía creo q su intensión era que no se me olvidará  y ahora escuchar esto digo como mi abuela que falleció de 78 años de edad y ya hace 20 años sabía esto Gracias por compartir  @Marthahigareda  @Lourdes ️️",1 star
"En esta vida va a pasar lo que tenga que pasar y es inevitable, no bajen su vibración con miedos. Mantenganse fuertes!. Disfruten su presente y hagan las cosas bien.",5 stars
"El capítulo del rosario y de las recetas para estar preparados, por favor . Gracias, Martha y a Lourdes ️️️",4 stars
"Estas profecias pueden cambiar si la humanidad pide en oracion perdon por lo que se esta haciendo,creo que no hace falta nombrar,el poder de la oracion a Dios puede cambiar el curso de las profecias",3 stars
Hola a todos pues las personas que vivimos en el campo vivimos en paz dormimos y comemos bien aca en el monte no llego el bicho no vemos noticias negativas saludos cuidense,1 star
"Martha estuvo super interesante este episodio, y si me gustaría saber sobre todos los remedios para poder sobrevivir a lo que se viene ... espero esa información, mil gracias a quien nos dio el aviso  que Dios nos cuide .",5 stars
Por favor queremos el capítulo del Rosario  !!!  MARTITAAAA️️️ por favor por favor por favor,1 star
"Sí Martita, hechanos las recetas por fa, hay que estar preparados. Así lo hice para la pandemia, yo estaba preparada con plata coloidal , invermectina y con el dióxido de sodio. La encargaba a Mx .... y si me dio paz . Mi familia no se vacunó a pesar de la presión social y gubernamental, muy agradecida por no caer en el miedo y manipulación.
Gracias Martita , eres una gran aporte a nuestras vidas.",5 stars
"Muy bueno, Gracias! Cogí nota de todas las advertencias de Lourdes!..Bueno que Dios nos agarre confesados, como quien dice, hacer el bien sin mirar a quien, no vaya hacer, que Dios nos mande a llamar en cualquier momento, es lo único que no podemos tomar el control ni saber una fecha exacta, solo nos advierten, que debemos estar preparados!..",5 stars
"Me encanta  escuchar  a Lourdes . Claro que regrese para darnos los remedios.
Me encantan las dos !!!",5 stars
"Hola Martha!!! un programa por favor de supervivencia, saludos!! excelente programa!",5 stars
"Lourdes y Martha que buen duo, aquí una hija de la lluvia️",5 stars
