comment,sentiment
creó equivocó stargate skynet,1 star
gracias canal favorito saludo suiza,5 stars
habia escuchado anuncios ma minutos youtube esperaba real,1 star
adoro canalll pone piel gallinaaaaa,5 stars
mismo decian llegar deeseek ahora ascuas,1 star
ecuación simple ser humano envejeciendo decir llenando viejos preparados afrontar ello conllevaenfermedades cuidados etc inminente uso inteligencia artificial cimientos soporten nueva,1 star
mentalidad unidos mejor si nadie,5 stars
encantan video realmente informativos,5 stars
excelente análisis gran carisma siempre agradecido labor divulgativa siempre grato entender realidad geopolítica actual tecnológica apoyo abrazo fuerte,5 stars
hecho vídeo respecto aranceles trump quiere aplicar méxico canadá china unión europea,1 star
gracias bueno saludable,4 stars
buen dato espero bien común poniendo soga cuello toda humanidad,4 stars
unidos consiga avance nuevas inversiones china llevará aos ventaja justo ahora,5 stars
ojo anuncio dicestargate star lake,1 star
pasa ia autónoma necesario configuren hacerlo según objetivos proyecto puede llagar hacerlo corto tiempo va poder controlar ser veces inteligente cualquier científico entiende sabe diferentes materia matemáticas sociales deberían pensar ia herramienta doble filo temprano tarde perderemos totalmente control si haciendo,3 stars
so experiencia profesionista permitio sonar dia hospital humanos area especialidad sistemas informacion hoy llaman inteligencia artificial ojala algun dia pudiera platicarles experiencia aos,3 stars
hacer és crear ia mentalidad conocimiento steve job haciendo transferencia conciencia familiares amistades persona cercanas tipo dato guardado si funciona después hacer mismo persona asi final insertárlo cuerpo sintético robothumanoide,3 stars
excelente contenido,5 stars
despues deepseek proyecto stargate seria broma mal gusto inversores,1 star
tres gracias trump,5 stars
mientras dicen dinero dicen deepseek pueden hacer ma barato fin,1 star
aun pronto ed camino largo resultados verán dentro aos mundo serum diferente junto generación humanos diferentes,5 stars
pues viendo necesita deepseek trabajar argumento cae solo gringo van necesitar buen plan,2 stars
quieren saber ase gente si roban asen cosas malas pregunta quién bijilara alós políticos corruptos ladrones responde pregunta diciendo mentiras,1 star
sé puede confiar empresarios,3 stars
gracias genial,5 stars
si mismos gringo imprimen billetes ningun respaldo oro complican solo compren ma impresoras,1 star
alguien notó parecido scanet scainet,1 star
llegan aos tarde competencia gringo chino lideran actualmente creación patentes innovación tecnológica unidos imperio decadencia puedes ver confirmar viendo ma sienta silla presidencial,5 stars
guerra perdio china va aos adelantado,1 star
suerte van necesitar digo ser pesimista sarcastico menos ponerme nivel persona desena mal tratándose china entrando nueva guerra fria cualquier cosa puede pasar,1 star
buena informacion,4 stars
hermosa burbuja,5 stars
interesante,3 stars
si ia mejora bien mal armas nunca buenas malas empuan u cosa,1 star
paso creacion scarlet pues,1 star
do aos china vuelve super inversión musd,5 stars
trump haciendo américa grande vez,5 stars
pov usa internet explorer,5 stars
q bien,4 stars
john connor razón skynet existe,4 stars
skynet reference,5 stars
sabiaaa ninguno tres tontosss,1 star
quiero invertir usd,1 star
trump va hacer nuevamente eeuu grande,5 stars
primero,5 stars
burbuja,3 stars
acuerdo elon musk ir cautela puede ser arma doble filo trump presidente problema quiere mejor país sabemos pudiera pasar gobierno demócrata ejemplo,1 star
sé puede confiar empresarios,3 stars
sé puede confiar empresarios,3 stars
hora europa espabilara ahora solo falta dejen tonterías inviertan dinero mejorar mixtral u nuevos productos aunque creo final opensource civil quedará dara igual jaja,1 star
buena moneda cambio bien jugado parte europa quieres tratar inferiores pues casa puedes jugar tecnología puntera seguramente pasar caja si sigue amenazando bajar impuestos productos europeos europeos subirlos empresas americana seria maravilloso ver si vamos despertando damos paso delante,4 stars
hizo falta putin trump unxi jinping espabilemos jooooodeeeer,1 star
donald trump acabara egemonia gringa,1 star
fotografia palabra favorita,5 stars
jajajaja mundo caos,5 stars
total medio tontos entran grupo,1 star
competitivo hace prohibir si,3 stars
chino felices,5 stars
eurotontos otantontos europedos,1 star
excelente tertuliagracias freddy traer invitado,5 stars
oro puro muchas gracias tremendo aporte,5 stars
buena entrevista gracias tener siempre secciones tan interesantes,4 stars
podría pedir ia redacte costitución justa chilenos ganemos,1 star
buena vista gracias freddy,5 stars
titulo vendedorrrrr impresionante mundo interesa dominarlo sino propia existenciaque ver dominar exteriorla realidad ma profundo vivir mundo,5 stars
menos gran experto chileno danza genios,3 stars
principio decia domine medios comunicación dominara mundo casi sucede nacieron redes sociales entonces dijo domine redes sociales dominara mundo casi pasa entonces aparecio ia ahora dice domine inteligencia artificial domina mundo aun pasa pasara pues sabemos termina vimos terminator,1 star
fredy veo siempre cuento acá suecia integra nueva asignatura plan estudio gymnasiet sueco inteligencia artificial,5 stars
