comment,sentiment
"Creó que se equivocó no era Stargate, era Skynet",1 star
Gracias mi canal favorito un saludo desde suiza 🇨🇭,5 stars
Habia escuchado de los anuncios de mas de 20 minutos en Youtube pero no me esperaba que fuera real,2 stars
Adoro este canalll me pone la piel de gallinaaaaa,5 stars
Eso mismo decian antes de llegar deeseek y ahora los tiene es ascuas,1 star
"La ecuación es muy simple, el ser humano está envejeciendo, es decir nos estamos llenando de viejos y hay que estar preparados para afrontar lo que ello conlleva(enfermedades, cuidados etc) es inminente el uso de inteligencia artificial ya que serán los cimientos que soporten la nueva era.",2 stars
"La mentalidad de estados unidos 
Es:
Yo soy el mejor en todo y si no lo soy en algo nadie lo es",5 stars
"Me encantan tus videos, son realmente informativos ️",5 stars
Excelente Análisis y Gran Carisma como Siempre!! Muy agradecido por tu labor divulgativa!! Siempre es grato entender un poco más de la realidad geopolítica actual y tecnológica con tu apoyo... Un Abrazo Fuerte!!,5 stars
"¿Por qué no has hecho un vídeo respecto a los aranceles qué Trump quiere aplicar a México, Canadá, China y a la Unión Europea?",1 star
Gracias muy bueno y saludable.,5 stars
"Buen dato, espero esto sea para el bien común y no le estén poniendo la soga al cuello a toda la humanidad",4 stars
"Para cuando estados unidos consiga un avance en estas nuevas inversiones, china ya les llevará años de ventaja. Justo como ahora.",5 stars
"Ojo! Es anuncio DICE:Stargate, NO ES STAR LAKES.",1 star
"Y que pasa cuando la iA sea autónoma, y no es necesario que lo configuren para hacerlo. Según sea los objetivos que tenga con el proyecto, puede llagar hacerlo en corto tiempo. Y quien va poder controlar a un ser que 10veces más inteligente que cualquier otro científico, que entiende y sabe de diferentes materia desde las matemáticas hasta las sociales. Deberían de pensar que las IA son un herramienta de doble filo, que más temprano que tarde perderemos totalmente el control. Si es que no lo está haciendo ya",3 stars
SOS Mi experiencia como profesionista me permitio sonñar un dia en un hospital sin humanos en algunas areas mi especialidad son los sistemas de informacion hoy le llaman inteligencia artificial ojala algun dia pudiera platicarles mi experiencia de 30 años.,3 stars
"lo que hay que hacer és crear una iA que tenga la mentalidad y conocimiento de Steve Jobs

haciendo una transferencia de conciencia de sus familiares, amistades y personas más cercanas y todo tipo de dato guardado de él
y si funciona después hacer lo mismo con otras personas asi

y al final insertárlo en un cuerpo sintético un Robot-Humanoide",4 stars
Excelente contenido,5 stars
Despues de Deepseek el proyecto Stargate seria una broma de mal gusto para los inversores.,1 star
Tres. Gracias TRUMP,3 stars
mientras ellos dicen que es muy poco dinero otros dicen como deepseek que lo pueden hacer mucho mas barato. Al fin que?,1 star
"Aun es pronto ed un camino largo, los resultados lo verán dentro de 40 a 50 años, el mundo sera diferente junto a una generación de humanos diferentes.",4 stars
Pues viendo con lo que necesita Deepseek para trabajar ese argumento se cae solo de los gringos. Van a necesitar un buen plan,2 stars
Quieren saber que ase la gente si roban y asen cosas malas y mi pregunta quién bijilara Alós políticos corruptos y ladrones quien me responde está pregunta o estoy diciendo mentiras,1 star
No sé puede confiar en los empresarios.,1 star
Gracias genial,5 stars
"Pero si los mismos gringos imprimen sus billetes sin ningun respaldo en oro, tanto que se complican solo compren mas impresoras.",2 stars
"Alguien más notó el parecido scanet ""scainet""",1 star
"Llegan 2 años tarde a esa competencia los gringos, los Chinos lideran actualmente la creación de patentes e innovación tecnológica, Estados Unidos es ya un imperio en decadencia...
Lo puedes ver y confirmar viendo nada mas quien de sienta en su silla presidencial",5 stars
"Esa guerra ya la perdio , china ya va 20 años adelantado.",1 star
"Suerte (la van a necesitar). Y no lo digo por ser pesimista ni sarcastico y menos a ponerme al nivel de esas personas que le desena el mal a otros, pero tratándose de China y entrando en esta nueva guerra fria, cualquier cosa puede pasar.",1 star
Buena informacion,4 stars
Hermosa burbuja,5 stars
Interesante,3 stars
"si la ia mejora es para bien y mal. 
Las armas nunca fueron buenas o malas , las que los empuñan son los que son una u otra cosa.",2 stars
y que paso antes de la creacion de scarlet ? pues...,1 star
Y en dos años China los vuelve a super con una inversión de 5MUSD.,5 stars
Trump está haciendo a América grande otra vez!,5 stars
pov: usas internet explorer,3 stars
Q bien,4 stars
John Connor tenía razón skynet existe,1 star
SKYNET reference,5 stars
Lo sabiaaa ninguno de esos tres son tontosss,1 star
Yo quiero invertir $10 USD.,1 star
TRUMP VAS HACER NUEVAMENTE A EEUU GRANDE,5 stars
Primero.,5 stars
Una burbuja,1 star
"Estoy de acuerdo con Elon Musk, hay que ir con cautela porque puede ser un arma de doble filo. Con Trump como presidente no habría problema, porque el quiere lo mejor para el país, pero no sabemos que pudiera pasar cuando entre otro gobierno como el demócrata por ejemplo.",3 stars
No sé puede confiar en los empresarios.,1 star
No sé puede confiar en los empresarios.,1 star
