comment,sentiment
gracias canal favorito saludo suiza,5 stars
creó equivocó stargate skynet,1 star
habia escuchado anuncios ma minutos youtube esperaba real,1 star
mentalidad unidos mejor si nadie,5 stars
mismo decian llegar deeseek ahora ascuas,1 star
encantan video realmente informativos,5 stars
adoro canalll pone piel gallinaaaaa,5 stars
gracias bueno saludable,4 stars
buen dato espero bien común poniendo soga cuello toda humanidad,4 stars
excelente contenido,5 stars
ecuación simple ser humano envejeciendo decir llenando viejos preparados afrontar ello conllevaenfermedades cuidados etc inminente uso inteligencia artificial cimientos soporten nueva,1 star
unidos consiga avance nuevas inversiones china llevará aos ventaja justo ahora,5 stars
ojo anuncio dicestargate star lake,1 star
aun pronto ed camino largo resultados verán dentro aos mundo serum diferente junto generación humanos diferentes,5 stars
tres gracias trump,5 stars
buena informacion,4 stars
despues deepseek proyecto stargate seria broma mal gusto inversores,1 star
alguien notó parecido scanet scainet,1 star
pasa ia autónoma necesario configuren hacerlo según objetivos proyecto puede llagar hacerlo corto tiempo va poder controlar ser veces inteligente cualquier científico entiende sabe diferentes materia matemáticas sociales deberían pensar ia herramienta doble filo temprano tarde perderemos totalmente control si haciendo,3 stars
mientras dicen dinero dicen deepseek pueden hacer ma barato fin,1 star
q bien,4 stars
paso creacion scarlet pues,1 star
si ia mejora bien mal armas nunca buenas malas empuan u cosa,1 star
trump haciendo américa grande vez,5 stars
trump va hacer nuevamente eeuu grande,5 stars
john connor razón skynet existe,4 stars
do aos china vuelve super inversión musd,5 stars
quiero invertir usd,1 star
primero,5 stars
sabiaaa ninguno tres tontosss,1 star
burbuja,3 stars
apúntate club ia grupo whatsapp conmigo cientos locos ia,5 stars
deepseek modelo buenísimo hoy hacirndo consultas dobre legislación espaola provee ejemplos hace cálculos da referencias agradece saluda emoticones,5 stars
cosa importante deepseek open source rompe oligopolio grandes empresas ahora empresas pequeas pueden tener propio modelo nivel mejor mercado corriendo servidores evitar depender servidores openai ahora voy tener ma posibilidades tener modelo privado corriendo aws digital ocean micro data center generando ma competencia bajando costos,5 stars
enero presenciamos competencia feroz empresas ia va ser excitante,1 star
saludos excelente análisis nunca visto nadie haga mejor hecho invirtiendo sp criptomonedas resultado rentable ganancia total mil dólares ahora aunque apenas opero mismo agradecido gracias actualizaciones continuas respecto mercado financiero,5 stars
van mentir eficiencia computo inferencia si cualquiera puede instalarselo pc potente comprobarlo lugar demandar datacenter ahi conspiracion alguna chino optimizado x eficienca sistemas,1 star
super hilarante observar adalides ultraliberalismo elon musk mutar capitán proteccionismo mueven árbol,5 stars
veo cada vez empresa china logra llueven cubos mierda encima cansa china gobierno puede negar avances sociales económicos tecnológicos conseguido da impresión inversores nvidia si creído deepseek costes dice haber sino vendido acciones,1 star
sé va semana saque trabajo servidores ocupados obtenido modelo gratuito vía web alucinante válido,1 star
sino deepseek openai habria planteado ir ma rapido competir,3 stars
democratización tecnología,5 stars
pasa subestimar chinosy conociéndolos seguro cosas bajo manga,3 stars
excelente explicación acotación ahora consume muchísimo ma petróleo usa prácticamente numero grande productos llevan derivados,5 stars
consumo recuerda políticos crean carreteras reducir tráfico único generan tráfico gente piensa haber carreteras conducirán tráfico salen tromba,1 star
impresionante análisis deepseek impacto ia mercados explicas claridad profundidad brutal contenido,5 stars
alegría competencia sana necesaria avanzar tecnología parece valioso gran paso escalar siguiente nivel ai,5 stars
excelente análisis ocurrido después lanzamiento deepseek mercado bursátil usa hecho chino viene ahora resto participantes mercado ia,5 stars
fin opinión común occidente pánico sale competidor condiciones mundo locas,1 star
saludos argentina jamás dejes ensearnos ia,1 star
extraordinario análisis mejor visto éstos dia gracias éste contenido,5 stars
buen día jon saludos arg gracias x toda info q siempre brindaste agradezco,5 stars
simplemente deepseek reventó presupuestado futura recuperación inversión insistan nueva competencia acelerará carrera demanda insumos materiales nadie dispuesto pagar invertir mismos precios,1 star
bien explicado clickbaits sensacionalismo resuscrito,4 stars
excelente video jhon cereza pastel explicación paradoja aplicación casomuchas gracias,5 stars
excelente vision analisis manera explicar super,5 stars
encanta súper inteligente disfruto podcast gracias,5 stars
fin encontré canal sabe trata temas tantas vueltas,5 stars
cuestión llevan quieren pueden hacer tropelías necesarias capaces sociedad reaccionar ve claramente maneja sociedades antojo lideres da igual dia apague vamos flipar,1 star
excelente informe futurible ia,5 stars
tremendo analisis muchas gracias,5 stars
jejeje último vídeo noticias semana subestimaste deepseek incluso dando datos chtgpt mejor pruebas rendimiento profundo vez salir hablar pues escucha lados,5 stars
mentira dando receta technical report fp v fp cross node allall communication reinforcement learning multitoken prediction training objective sobran recursos piensa optimizacion fin,3 stars
