comment,sentiment
"¡Esto merece más apoyo de lo que ya tiene! Este tipo es realmente bueno explicando, mejor que mis maestros jaja.",5 stars
"Key Takeaways for quick navigation:

00:00  Introduction to Artificial Intelligence
- Artificial intelligence defined as the ability of artificial devices, like computers, to perform tasks typically requiring human intelligence.
- Overview of the evolving definition and capabilities of AI, including its historical progression and current applications.
00:36  Types of Artificial Intelligence
- Classification of AI tasks into categories such as calculation, memory, learning, creativity, and self-awareness.
- Discussion on the challenges in replicating human-like intelligence in machines.
02:02  Creativity in Artificial Intelligence
- Exploration of algorithms and techniques enabling AI to exhibit creativity in various domains such as painting, music, writing, and humor.
- Examples of AI-generated creative outputs and ongoing research in enhancing AI's creative capabilities.
02:30  Machine Learning and AI
- Explanation of machine learning (ML) as a subset of AI, focusing on the ability of algorithms to learn from data and improve performance over time.
- Overview of supervised, unsupervised, semi-supervised, and reinforcement learning techniques with real-world applications.
04:10  Supervised Learning Algorithms
- Detailed discussion on supervised learning algorithms, including their reliance on labeled data for training and examples of applications such as image recognition and natural language processing.
- Importance of labeled datasets in training algorithms and their role in various domains like autonomous vehicles and medical imaging.
05:35  Unsupervised Learning and Other Techniques
- Explanation of unsupervised learning algorithms used for clustering similar data points and their applications in recommendation systems and data analysis.
- Introduction to semi-supervised learning and reinforcement learning techniques, emphasizing their significance in handling limited labeled data and decision-making tasks.
07:00  Advanced Learning Algorithms
- Overview of advanced learning algorithms like support vector machines, decision trees, k-nearest neighbors, and neural networks.
- Explanation of neural networks' structure, function, and their role in deep learning, highlighting their application in various AI tasks and ongoing research areas.

Made with HARPA AI",4 stars
Excelente explicación. Llevo 1 año estudiando el tema y creo que esté es el mejor video para dar una introducción general al tema de Inteligencia Artificial para aquellos que no están dentro del campo de estudio o solo tienen curiosidad por saber de qué trata todo esto.,5 stars
"Profe, usted es de los mejores maestros del mundo!",5 stars
"Hay mucha matemática detrás de las técnicas de redes neuronales.....hay mucho material que podrías profundizar, encantadisímo de tus valiosos aportes....",5 stars
"La inteligencia artificial se define como la capacidad de los dispositivos artificiales para realizar tareas propias de la inteligencia humana, como el aprendizaje automático, el reconocimiento de patrones y la toma de decisiones.

00:42 La inteligencia artificial se define como la capacidad de las máquinas para realizar tareas humanas, aunque aún hay limitaciones en áreas como la creatividad y la autoconciencia. El aprendizaje automático es fundamental en el desarrollo de la inteligencia artificial.
          -La evolución de la inteligencia artificial y su capacidad para realizar tareas humanas complejas. 
          -Las limitaciones actuales de la inteligencia artificial en áreas como la creatividad y la autoconciencia. 
          -El papel crucial del aprendizaje automático en el avance de la inteligencia artificial y su capacidad para aprender de errores pasados. 
03:23 Los algoritmos de aprendizaje supervisado son ampliamente utilizados y requieren millones de datos etiquetados para entrenar modelos. Otros tipos de algoritmos incluyen el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con aplicaciones específicas.
          -El aprendizaje supervisado se aplica en reconocimiento facial, voz, huellas digitales y coches autónomos, entre otros. Requiere grandes cantidades de datos etiquetados para su funcionamiento.
          -Existen otros tipos de algoritmos como el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con sus propias aplicaciones y métodos de entrenamiento.
          -Además de los algoritmos mencionados, se utilizan técnicas específicas y algoritmos famosos como regresión lineal, regresión logística y árboles de decisión en diferentes problemas de aprendizaje automático.
07:20 Las redes neuronales son una técnica potente en el aprendizaje automático, formadas por neuronas que se combinan para crear redes profundas en el deep learning. 
          -El video menciona diferentes técnicas de aprendizaje automático como random forest, knn, support vector machine, boosting, y redes neuronales, destacando la potencia de estas últimas en el deep learning. 
          -Se resalta la importancia de comprender el funcionamiento de los algoritmos de inteligencia artificial, como la traducción automática y el reconocimiento de voz, para evitar errores o malas interpretaciones en su aplicación.",4 stars
"Gracias Ribéry!! No solo me has enseñado de buen fútbol, ahora también de inteligencia artificial!",5 stars
"""Antes de ser humano, fui un hipopótamo"" frase que nunca nadie ha dicho pero nunca la olvidaré",5 stars
"Como abogado estoy casi en las antípodas de las matemáticas, pero este canal me gusta muchísimo.",5 stars
"Tus vídeos son siempre muy interesantes, la calidad de ellos va a mejor en cada uno.",5 stars
Muy buen contenido el de tu canal. Usare tu vídeo para un trabajo universitario. !Gracias¡ :D,5 stars
"yo ando viendo este tema para un proyecto del que depende si paso o no y termino el colegio, con esto caigo en cuenta que escogimos un tema mas complejo del que creia, del cual debemos defender en muy poco tiempo pero ya mejor ir informandose y aprendiendo de ya para no estancarme tan pronto",3 stars
"0:01 Lo primero en lo que pienso:
Stockfish",1 star
"muy buena fase introductoria , para aquellos que como yo , hace más de 30 años , conversabamos  sobre inteligencia artificial, es emocionante  y apasionante  estar viviendo esta realidad , es como un sueño realizado en este plano , y nos gustaría profundizar más en el uso de sus  aplicaciones, Gracias",5 stars
SINCERAMENTE LE FELICITO. USTED TIENE UNA DIDÁCTICA MUY EFECTIVA PARA EXPLICAR CON SENCILLEZ Y A LA VEZ CIENTÍFICAMENTE LA INTELIGENCIA ARTIFICIAL. LE REITERO MIS FELICITACIONES. SIGA ADELANTE,5 stars
"5:32 ""aqui no somos binarios my friend"" perfecto para evitar futuros problemas",5 stars
Lo curioso es que los algoritmos de Youtube me llevaron a tu video. Espero este aprendiendo lo que es contenido de calidad.,4 stars
"Gracias Eduardo por compartir tu conocimiento. Un video conciso que explica eso de lo que todos hablan pero nadie sabe explicar bien que es. Sin vueltas, sin palabras de más. Ejemplos muy cercanos, de la diaria. No tenía idea de la relación del captcha y la AI. Una maravilla.",5 stars
Que placer es estar suscrito a este canal. Un respiro de ciencia nunca está demás,5 stars
"Excelente, preciso y bien explicado ... Saludos desde República Dominicana 🇩🇴🇩🇴🇩🇴",5 stars
"Me encantan las caras promocionales por divertidas que pone este hombre para quitar hierro a temas tan serios, es un genio, un sabio, así da gusto aprender cosas nuevas de la ciencia...",5 stars
muchas gracias.Estoy en un curso de ciencia de datos. Y me ha ayudado comprender el concepto,5 stars
"Que pedazo de video, simplemente genial y muy interesante, me  gusto que le estén dando importancia a la IA , sin las matemáticas no fueran posibles estos avances.
En la actualidad seguimos usando algoritmos estadísticos de hace 30 o 40 años pero la gran diferencia es que hoy se generar toneladas de datos y esto como consecuencia tienen más variedad de datos para que pueden ser entrenados.",5 stars
"De verdad, muchas gracias... me diste la motivación que necesitaba para afrontar el 4to año de mi carrera de ingeniería en matemáticas",5 stars
"Muy buenas! 
En primer lugar felicitarle por el canal. De pequeño me encantaban las matemáticas. Me quisieron ascender dos cursos pero di con una mala experiencia debido a eso y bullying y terminé dejando todo... Ojalá le hubiera conocido de pequeño....

Quisiera pedirle en segundo lugar un video a fondo sobre la proporción Áurea. Me gustaría poder compartir la importancia de la proporción Áurea con todos los que siguen este canal ya que es muy importante... Esta presente en todo lo que nos rodea... De hecho, incluso se asocia a la belleza ya que las personas que más se acercan en esas proporciones, más bellas las percibimos. 

Es realmente increíble, tanto en estructuras naturales como puede ser los tallos y ramificaciones de las plantas como en todo. Se que de haber continuado unos estudios fuertes, me habría gustado poder comprobar como la inteligencia está fuertemente relacionada con dicha proporción etc... Es tema largo para poder desarrollarme por aquí. Pero no solo está presente en nosotros y en la tierra, sino en el universo. 

En mi teoría, las ramificaciones cerebrales, como las propias ideas y la consciencia están completamente relacionadas con dicha proporción. Es demasiado profundo para un post, pero me encantaría poder comenzar viendo un vídeo por su parte y poder comentar allí. Gracias! Y por supuesto, continúe que es increíble el mundo matemático.",5 stars
Muchas gracias profe me a enseñado mucho su gran tema de la AI,5 stars
"Yo: ""Una I.A. crea un canal de matemáticas mejor que 'Derivando'.... ""
Eduardo: ""No te lo crees ni tú...""",1 star
"Este tipo es lo máximo, su apariencia poco usual para un profesor sumada a su carisma lo vuelven un verdadero hit.",5 stars
Hola Soy un Ingeniero de Machine learning aveces los XGboosters superan a las redes neuronales. muy buen video con XGboosters me refiero al gradiente descendiente.,5 stars
"Excelente explicación, muchas gracias.",5 stars
"FELICITACIONES, CLARO Y PRECISO SIGUE ASI, PORQUE DE POR VIDA VAMOS A CONVIVIR CON LA INTELIGENCIA ARTIFICIAL GRACIAS",5 stars
Me pase 4 meses teniendo la materia de IA para comprenderla y  en este video lo comprendí en menos de 5 minutos,2 stars
"Sorprendido cada día mas con vos, es casualidad el video. Eres parte de mi formación académica! Formas parte de las clases que me brindan, agradecido eternamente por tu contenido.",5 stars
Muy buen vídeo. Ilustrativo y conciso...  Tnx!,5 stars
Excelente tu aporte queridísimo,5 stars
Muy buena explicacion los ejemplos que mencionas ayudan a entender los conceptos. Gracias,5 stars
