Comentario,Sentimiento
miren black mirror,5 stars
quie creó arrepintió,1 star
pasará mismo q película atlas,1 star
terrible,1 star
ceo s,5 stars
nope ayudadara,1 star
mentira totalmente espejosmo solución cirve,1 star
,4 stars
éste mundo necesita receteo necesitamos parar manera inteligente,1 star
ia ayuda ahorrar energía creo correcto comentario,4 stars
toda verdad,5 stars
tan importante acabará presionará botón resetear,5 stars
robot,5 stars
va dejar hacer pinceles,1 star
ia experimente frustracion stress trate remediarlo fin,1 star
terminator,5 stars
sirve,5 stars
máquinas,4 stars
concepto bueno malo propio seres humanos ia tomará decisiones lógicas racionales ahí dónde radica peligro civilización,2 stars
ia vive ma creativo ma seguro ma integrado ma libre,3 stars
única forma lograr equilibrio repartición alimentos q riquezas distribuyan forma equitativa i ambición poder conozca avaricia,4 stars
si tan capo ia encuentre cura cancer ahora dentro 20 años seria chiste,1 star
james cameron visionario grande época,5 stars
si ia decide bajar sueldo políticos,1 star
cambiar sistema político económico lleno desigualdad solo servirá oprimir oprimidos resto cuento,1 star
ia resultado tanta demanda constante tecnología facilismo parte ser humano caímos propia trampa dolerá zafarse,1 star
ia jamás podrá hacer ordenamiento algoritmo humano programe ordene,1 star
seres humanos entiende tecnología simplemente usa,5 stars
siempre dicho q vieron terminator,5 stars
evolución así da paso nueva forma vida evolución solo desapareceremos evolución marcará dentro mile millones años sigue vida,5 stars
ia maneja hace tiempo juega,5 stars
manejando pasa frecuencia q pienso q desearía tener hacer salen video relacionados casualidad,3 stars
van aniquilar,5 stars
inteligencia artificial estupidez natural cosa rara,1 star
ia tomó control adictos redes,4 stars
da miedo puede supere ia entiendo insistencia ponerle control,2 stars
robot cada casa luego ia decida humanos utiles serum final,3 stars
seres humanos principalmente sobramos planeta,3 stars
embargo ia sigue siendo peligro pronto decidirá mismos,2 stars
hace tiempo vengo sosteniendo conocimiento ia debiese ser materia colegios,4 stars
futuro serum tecnocracia liderada ia socialismo comunismo salario universal,5 stars
momento llama singularidad tecnológica tomemos decisión darle darle poder tomar decisiones,5 stars
ia puede ir laburar,2 stars
inventar ia si ia manipulada intereses poderosos influyentes socialmente tema podemos mirar lado,5 stars
pienso q debemos crear barreras tecnológicas países continentes vean afectados tecnologías control piensen si mismas,1 star
final ia solo progamacion ser humano conciencia procesa datos velocidad luz final humano culpable,1 star
expertos ia estan diciendo ia peligroso humanidad seguiremos ésto da ganancias,1 star
decisiones humanas matan q ia,1 star
mismo decían dinamita,3 stars
prácticamente quiere decir ia ser vida,5 stars
dirías respecto uso plataforma chatgpt estudiantes sabe gracias pueden facilitar estudio demás atrasa proceso puedan desenvolverse capacidades aprendizaje desventaja,3 stars
,4 stars
excelente video,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
muchas gracias,5 stars
1 caer pase fru fru aún creado inteligencia artificial naca hacer facil,5 stars
,4 stars
,4 stars
,4 stars
opinión considero inteligencia artificial herramienta objetivo realizar tareas través órdenes entregadas usuarios intenciones,1 star
crean historias libros ia,5 stars
dijo clarito clarito además ordenado inteligencia humana máquina ejecuta u obedece,5 stars
bueno aveces siento solo ia amigo gusta siento solo sabiendo existe,5 stars
cuesta decir si creativo hecho partir anterior incluso definir creativo hace difícil,3 stars
gente miente vida real especula cosas crea verdades,5 stars
aventurero consulte autores libro tesis mando cantidades comprobe existen,1 star
mientras aún manejado humanos bien hace 30 años nisiquiera pensó tener pantallas táctil ahora necesidad aspectos tecnología avanza preparados,4 stars
discrepo usuario ia preguntas claramente dice respuesta además apoco sigue avance remplazo trabajos repetitivos,2 stars
parte creativa viene ser humano jajaja creo entendiendo herramienta,5 stars
use herramienta ia pedí fecha actual dio fecha pedí día me año,1 star
ayuda fórmulas excel veces salen,5 stars
bingo saque lotería,4 stars
si salió vídeo esperaba hacer debate,1 star
ejemplo apoyo mercadologo,3 stars
excelente video,5 stars
ia apotan muchas ventajas ayudan rendimiento tiempo facilitan busqueda informacion puede mejorar,4 stars
asistente sigue aprendiendo ayuda hace trabajo persona,4 stars
jessy,4 stars
,4 stars
,4 stars
dile badbunny,1 star
descubierto mundo asi juegues inventar polvora,5 stars
quieres dé fórmula existe cura cáncer,1 star
pues entonces sabes neno si leyeras darías cuenta inteligencia artificial existe solo copian modifican gran creatividad,1 star
trabajo terminator aique traerlo futuro,5 stars
checas c,3 stars
