comment,sentiment
wow pregunta puedo aprender ma hacerca opereitor trabajar ia empreza,5 stars
seguimos ia,3 stars
bien poder hacer trabajoinformeetcen pocos minutos aadiendo mismo tablasfotografías imágenesetc si profesor entrevistador jefe pueden darse cuenta haces alguna ia parece sacado wikipedia,3 stars
medio,3 stars
aos,3 stars
nov,1 star
chatgpt destroza deepseek duro semana hahhahah,1 star
únete sap innovation day aquí,5 stars
vi notificación openai anunciando deep research dije bueno maana explicará jon mejor sigan así canal,1 star
traéis actualidad semanal modo útil muchas gracias gran trabajo,5 stars
si consigues agi automáticamente obtienes singularidad si existe singularidad imposible controlar ma inteligente,1 star
osea si podía barato querían ver cara,2 stars
abogado pregunto si nueva ley americana ia caso aprobarse supone fin publicación paper ia significa final inventen tan predominante europa si gobiernos europeos quieren crear ia nacionales van tener ponerse pilas investigación quedar condenados replicar únicamente tecnología existe ahora puede quedar obsoleta tiempo,1 star
alucinante humillación recibido deepseek abierto barato cadena pensamiento forzado moverse grande,1 star
darle poder ia open source mezquinos poderosos tomen control,5 stars
imparable salvo control absoluto mundo imposible,5 stars
hermano políticos ninguna solución nunca sirven cosas mundanas menos van servir campo abre ia debatir solamente tecnicos profesionales foros abiertos mediante daos decentralized autonomous organization registrando voto cada especialista blockchain ver momento lugar responsable cada voto,1 star
tal jon gracias tema deepseek encontre canal ia siguiendo realmente interesante necesario tema hoy tocas primeros atisbos conciencia ia parece siempre preocupado sobretodo pensando posibilidad futura fusion artificial biologico persona tocado tema conciencia ia howard gardner conocido tema inteligencias multiple tema apasionante dejo link gardner toca tema conciencia ia creo puede interesar saludo hermosa isla malta supuesto seguire siguientes programas canal tan buena informacion actualidad tema ia aca dejo link video,4 stars
hola jon podrías compartir x informe relaciones eeuu china hecho deep research podamos analizar fondo tal resultado muchas gracias,5 stars
aconsejo jon deje decir frases recurrentes básicamente realidad cuál cuántos difícil hablar tiempo caer latiguillos debería ser objetivo lado recomiendo encarecidamente vídeo noticias centre noticias opinión lícito haga vídeos largo entramos vídeo noticias opinión además podemos acuerdo ninguno do casos útil opinión,3 stars
excelente jonhernandez tenes acostumbrados video bien completos gracias,5 stars
hola jon interesado comprar plaud comentaste descuento cómo activamos,3 stars
muchas gracias explicar noticias ia actuales forma tan clara cualquiera pueda entender gran pregunta ia final conciencia propia derechos aplica robot humanodies ia abrumador rápido toso sucede gran video,5 stars
máster jon video novedades da vida ir wc,5 stars
hace recordar sujeto botaron google decir ia conciencia pues parecer según padrino ia ocurrió,1 star
vienen cositas,3 stars
creo inteligente preguntarse hace cosas puede abrir puertas nuevas preguntas cosas sabemos investigar ello merci aporte,5 stars
ve oido hablar caso snowden,1 star
deep research va molar actualización modelo voz enorme acierto,5 stars
gran trabajo,5 stars
escuchado hablar seguridad deepseek relacionado restricciones repuestas puedan brindar ejemplo si hace preguntas dime puedo hacer malware informático etc,1 star
jon cagao metan quinta vamos asi,5 stars
increíble análisis contenido top claro actualizado gracias mantenernos día ia,5 stars
muchas gracias noticias maana directo cabeza,5 stars
directo brutal ahí,5 stars
va bien largo video encantado gran trabajo john siempre gracias,5 stars
directo deep research hazme estrategia inversión empezando multiplique aos,5 stars
mirarse animatrix concretamente segundo renacimiento capitulo vais flipar ocurriria si ia capaz mejorarse si misma,3 stars
sama dicho twitter one more thing deep research así todavía queda sorpresa,5 stars
canal convertido vocero openia completo fanboy lastima parecia ma independiente objetivo,1 star
gracias video deep research ve bueno puede tener mucha utilidad hacer informe preliminar campo especifico,4 stars
gran video estectacular gracias información tan valiosa últimas novedades ai felicitaciones,5 stars
gracias tenernos día último ia gran trabajo,5 stars
muchas gracias john dios bendiga siempre crack,5 stars
latam si debemos considerar consumir productos servicios mercados eeuu ven relevante dinero vale economías,3 stars
políticos digan q haga ia si políticos ma incompetentes trabajo,1 star
súper ai bajo control,5 stars
deep research ahora mejor ai disponible parece ser capaz solo ayudar sino sustituir completamente departamento,5 stars
jon juan bautista abre cielos deja oir aqui ia amada complacencia,5 stars
efecto deepseek,5 stars
decídete si quieres opensource china asumir hará riesgo descontrole visto da miedo así si queremos aguantarse vivir opensource conformarnos juguetitos inofensivos ia jamás acceso veremos ia remotamente cercana superinteligente seguro aparte permitirán importar exportar tecnología ia china van restringir nivel general pronto pasará solo hecho intentar hacer ingeniería inversa clonar modelos destilados tener usar coquetear modelos ia tan alto nivel provenientes solo china va ser delito máximo perseguir juego cabeza norma general tema seguridad nacional mundo generará nivel persecución nunca visto intentar programar generar casa ia superinteligencia tratado tan severamente pillen intentando fabricar bombas casa literalmente tratado terrorismo potencia creo mejor predicción pronto terminará fiesta asombro ver avance crecimiento ia hacia superinteligencia pasará cortado raíz solo veremos ia nia adolescente ahora logre superinteligencia enteraremos directamente podremos asombrarnos capaz hacer caso verá indicios cosas extraas empiecen pasar jamás nunca nunca nunca podremos tener efecto wow sora ver capaz superinteligencia roguemos nunca enteremos capaz si algún día pasa agarrarnos bien fuerte ahí si veremos cagado mal,1 star
deepseek van saliendo cosas final tenia tan poder computo luego cosa tener cuenta china europa unidos doden montar centro datos debes hacer plan ecologista impacto kw lux enormemente ma barato ingeniro europa cobra china pagas si puntos encuenta ma barato si dicen,1 star
fan foto jon tatuaje jajaajaja punto editor,3 stars
parece menos curioso alguien fie ma modelo americano chino acto seguido comentas ley pueden meter aos cárcel usar ia china sinceramente dificil elección,2 stars
