comment,sentiment
¡Participa en el SORTEO de 100 cuentas gratuitas de Firelink! Aquí: https://www.jonhernandez.education/firelink/,5 stars
"Me parece que la Noticia de DeepSeek debería haber tenido mayor relevancia, no soy experto, pero el hecho que mueva las acciones de las Grandes Tecnológicas, implica que moverá todo el mundo de la IA y la amenaza al poder económico y tecnológico a partir de la innovación y la creatividad para resolver las cosas, debería ser una gran lección",3 stars
Me hace gracia la advertencia de que es un modelo chino en cuanto a la privacidad. Que yo sepa estamos en Europa y me gustaría escuchar esa misma advertencia para modelos americanos. Sobretodo viendo lo que está pasando por allí.,4 stars
"Pedro Sánchez pidiendo a chat Gpt que le explique que es la AGI, y que le haga un resumen de por que no llegará,  si hubiera tenido gpt el dia que hizo su tesis almenos no estaría plagiada..",1 star
EXCELENTE manera de estar informados en el mundo de las IA.  Gracias...,5 stars
La inteligencia es la del que ha pillado la mitad de los 150 millones y los ha repartido entre sus amigos,5 stars
"Por fin una semana que es una ""absoluta locura""",1 star
"Creo que DeepSeek se merece un video. En el canal 24 horas han dedicado bastante tiempo a hablar de ello , incluso han entrevistado a expertos",5 stars
"Sobre el tema de la I.A. en la enseñanza. Yo he aprendido más cosas de programación este año usando I.A. que en los últimos 5 años por mi cuenta. Usar una I.A. para aprender cosas es como tener un libro al que le puedes preguntar las dudas que te surjan y con quien puedes compartir lo que haces y que te lo evalúe y te diga si se puede mejorar y cómo. Para mí, el ritmo del aprendizaje es mucho mayor usando la I.A. Y si se termina metiendo en todas las escuelas, yo creo que va a aportar cosas muy positivas.",4 stars
"OpenAI, la empresa que fue ""open"" hasta que vieron que la cosa empezaba a funcionar. Y entonces dijeron: Ya no nos hace falta vuestra ayuda, a partir de ahora preferimos ser ""closed"". Pero no cambiaron su nombre por ClosedAI.",1 star
3:16 ¿No pueden competir? 13:34 ¿Y luego dices esto? ¡Muy contradictorio tu enfoque!,1 star
"John habla sin miedo de Deepseek hombre !!  Que no te vamos a pedir ninguna bajada de precio en tu formación !!  
No tengas miedo !! ! Un Saludo makina !!",5 stars
"Gracias por tu profesionalidad, desde luego se aprende un montón con estos videos.",5 stars
"Si el gobierno intenta usar la IA en funciones oficiales (y quizá hasta como consejera en La Moncloa), crear modelos nacionales es un requerimiento ineludible. Lo contrario, usar un modelo de OpenAI o Anthropic en funciones oficiales, es directamente un delito de traición (intercambiar información de seguridad nacional con ordenadores en el extranjero). En este sentido, incluso un modelo Open Source entrenado en el extranjero puede ser cuestionable.",1 star
"Evidentemente si tomamos como ejemplo a Pedro Sánchez no podemos competir en inteligencia con nadie, por tanto ¿qué podemos esperar en el campo de la inteligencia artificial si Sánchez está al mando...?; pues ya está.",1 star
"Saludos. Falto mas detalle de Deepseek. Lo que han hecho los chinos es una locura nada mas vean lo que paso hoy en los mercados. Tambien explicar un poco mejor lo de los modelos destilados que es CLAVE: han usado el modelo grande para generar datos sinteticos y entrenar modelos no razonadores mas pequeños, que funcionar mejor o casi a la par de los modelos grandes cerrados. Con lo cual es muuuuucho mas barato hacer esto que en sacar versiones cada ve mas grandes y mas costosas. Y para los excepticos, el modelo es Open Source, alli esta en github y los destilados tambien.",3 stars
"Lo vengo probando y comparando GHATGPT 4, y DS  es igual o mejor,  en razonamiento es mas rapido y bien preciso,   y lo mejor de todo es gratis",5 stars
Tenemos un PRESIDENTE superdotado con un nivel de inteligencia nunca visto hasta ahora. Me ha cambiado la vida ese prologo!!,5 stars
"Ningún estado ha invertido nada aún en IA, salvo China. Todo ha sido pura inversión privada. Estamos criticando una iniciativa que aún no ha tomado casi ningún gobierno, y que en realidad se debe abordar por toda la UE en su conjunto.",1 star
"Hoy no te doy like, no porque el contenido está mal, todo lo contrario de igual calidad que , siempre, pero creo que se merecía, un add de última hora con el análisis del impacto de deepseek , terremoto que, bajo mi punto de vista puede cambiar algunas reglas y que podría incluso replantearse proyectos como Stargate...",3 stars
Lo más estúpido es intentar crear algo superior a ti en todos y pretender controlarlo.... Nadie se da cuenta de la gigantesca contradicción?,1 star
"LO QUE HACE FALTA QUE ESOS 150 MILLONES, SEAN REALES. GRACIAS POR TU APORTACIÓN",5 stars
"Hola Jon, cuidadín con las acciones de Nvidia. Lo de Deepseek es un tema serio. Además creo que habrá habido mucha movida con los agentes en acción y casos de uso. Un poco decepcionado por esta semana.",3 stars
"“El algo no se convertirá en alguien”. Una de las frases más oportunas y perspicaces que le he escuchado a nuestro presidente. Oportuna por lo ocurrido hoy en el Nasdaq. Perspicaz por que la definición de una AGI no es una definición técnica cerrada, y sólo de especialista. Lo es esencialmente filosófica. Un “alguién” tal como lo sabemos queda definido por una ubicación espacio-temporal y por una experiencia subjetiva (de raíz sensitiva), algo que no tienen las máquinas y que por definición no pueden aspirar a tener, al menos sin matriz biológica.
Claro que resulta truquero mover la definición para cumplir con el objetivo. Algo que muchas de esas autoridades en la materia (a quienes contradecir se plantea como sacrilegio) vienen haciendo de continuo con muchos de los conceptos (empezando por el de inteligencia). Califiquen de estúpidas opiniones como la del presidente, o la mía en este caso, y sigan ustedes el sonar de la flauta. Encontrarán más lunes del Nasdaq.",5 stars
Hola. Tengo una pregunta: ¿cuándo crees que llegará la IA que actúe en el sistema operativo del ordenador como lo hace operator?,1 star
Cuéntanos que está pasando con deepseek,5 stars
