comment,sentiment
excelente explicación llevo ao estudiando tema creo mejor video dar introducción general tema inteligencia artificial aquellos dentro campo estudio solo curiosidad saber trata,4 stars
merece apoyo tipo realmente bueno explicando mejor maestro jaja,5 stars
mucha matemática detrás técnicas redes neuronaleshay material podrías profundizar encantadisímo valiosos aportes,5 stars
key takeaway for quick navigation introduction to artificial intelligence artificial intelligence defined a the ability of artificial device like computer to perform task typically requiring human intelligence overview of the evolving definition and capability of ai including it historical progression and current application type of artificial intelligence classification of ai task into category such a calculation memory learning creativity and selfawareness discussion on the challenge in replicating humanlike intelligence in machine creativity in artificial intelligence exploration of algorithm and technique enabling ai to exhibit creativity in various domain such a painting music writing and humor example of aigenerated creative output and ongoing research in enhancing ai creative capability machine learning and ai explanation of machine learning ml a subset of ai focusing on the ability of algorithm to learn from data and improve performance over time overview of supervised unsupervised semisupervised and reinforcement learning technique with realworld application supervised learning algorithm detailed discussion on supervised learning algorithm including their reliance on labeled data for training and example of application such a image recognition and natural language processing importance of labeled datasets in training algorithm and their role in various domain like autonomous vehicle and medical imaging unsupervised learning and other technique explanation of unsupervised learning algorithm used for clustering similar data point and their application in recommendation system and data analysis introduction to semisupervised learning and reinforcement learning technique emphasizing their significance in handling limited labeled data and decisionmaking task advanced learning algorithm overview of advanced learning algorithm like support vector machine decision tree knearest neighbor and neural network explanation of neural network structure function and their role in deep learning highlighting their application in various ai task and ongoing research area made with harpa ai,4 stars
profe usted mejores maestro mundo,5 stars
inteligencia artificial define capacidad dispositivos artificiales realizar tareas propias inteligencia humana aprendizaje automático reconocimiento patrones toma decisiones inteligencia artificial define capacidad máquinas realizar tareas humanas aunque aún limitaciones áreas creatividad autoconciencia aprendizaje automático fundamental desarrollo inteligencia artificial evolución inteligencia artificial capacidad realizar tareas humanas complejas limitaciones actuales inteligencia artificial áreas creatividad autoconciencia papel crucial aprendizaje automático avance inteligencia artificial capacidad aprender errores pasados algoritmos aprendizaje supervisado ampliamente utilizados requieren millones datos etiquetados entrenar modelos tipos algoritmos incluyen aprendizaje supervisado semi supervisado refuerzo cada aplicaciones específicas aprendizaje supervisado aplica reconocimiento facial voz huellas digitales coches autónomos requiere grandes cantidades datos etiquetados funcionamiento existen tipos algoritmos aprendizaje supervisado semi supervisado refuerzo cada propias aplicaciones métodos entrenamiento además algoritmos mencionados utilizan técnicas específicas algoritmos famosos regresión lineal regresión logística árboles decisión diferentes problemas aprendizaje automático redes neuronales técnica potente aprendizaje automático formadas neuronas combinan crear redes profundas deep learning video menciona diferentes técnicas aprendizaje automático random forest knn support vector machine boosting redes neuronales destacando potencia últimas deep learning resalta importancia comprender funcionamiento algoritmos inteligencia artificial traducción automática reconocimiento voz evitar errores malas interpretaciones aplicación,4 stars
gracias ribéry solo enseado buen fútbol ahora inteligencia artificial,5 stars
vídeos siempre interesantes calidad va mejor cada,5 stars
abogado casi antípodas matemáticas canal gusta muchísimo,5 stars
sinceramente felicito usted didáctica efectiva explicar sencillez vez científicamente inteligencia artificial reitero felicitaciones siga adelante,4 stars
pedazo video simplemente genial interesante gusto dando importancia ia matemáticas posibles avances actualidad seguimos usando algoritmos estadísticos hace aos gran diferencia hoy generar toneladas datos consecuencia variedad datos pueden ser entrenados,5 stars
gracias eduardo compartir conocimiento video conciso explica hablan nadie sabe explicar bien vueltas palabras ejemplos cercanos diaria idea relación captcha ai maravilla,5 stars
buenas primer lugar felicitarle canal pequeo encantaban matemáticas quisieron ascender do cursos di mala experiencia debido bullying terminé dejando ojalá conocido pequeo quisiera pedirle segundo lugar video fondo proporción áurea gustaría poder compartir importancia proporción áurea siguen canal importante presente rodea hecho incluso asocia belleza persona acercan proporciones bellas percibimos realmente increíble estructuras naturales puede ser tallos ramificaciones plantas haber continuado estudios fuertes gustado poder comprobar inteligencia fuertemente relacionada dicha proporción etc tema largo poder desarrollarme aquí solo presente tierra sino universo teoría ramificaciones cerebrales propias idea consciencia completamente relacionadas dicha proporción demasiado profundo post encantaría poder comenzar viendo vídeo parte poder comentar allí gracias supuesto continúe increíble mundo matemático,4 stars
excelente preciso bien explicado saludos república dominicana,5 stars
placer suscrito canal respiro ciencia nunca demás,5 stars
excelente explicación muchas gracias,5 stars
curioso algoritmos youtube llevaron video espero aprendiendo contenido calidad,5 stars
buen contenido canal usare vídeo trabajo universitario gracias d,4 stars
encantan caras promocionales divertidas pone hombre quitar hierro temas tan serios genio sabio así da gusto aprender cosas nuevas ciencia,5 stars
ser humano hipopótamo frase nunca nadie dicho nunca olvidaré,1 star
buena explicacion ejemplos mencionas ayudan entender conceptos gracias,4 stars
ando viendo tema proyecto depende si paso termino colegio caigo cuenta escogimos tema ma complejo creia debemos defender tiempo mejor ir informandose aprendiendo estancarme tan pronto,1 star
primero pienso stockfish,3 stars
sucedería si ejecutará vectores intravectores decisivos dentro arrayanes gracias respuesta maestro saludos,3 stars
tipo máximo apariencia usual profesor sumada carisma vuelven verdadero hit,5 stars
buena fase introductoria aquellos hace aos conversabamos inteligencia artificial emocionante apasionante viviendo realidad sueo realizado plano gustaría profundizar uso aplicaciones gracias,4 stars
sorprendido cada día ma vos casualidad video parte formación académica formas parte clases brindan agradecido eternamente contenido,5 stars
verdad muchas gracias diste motivación necesitaba afrontar to ao carrera ingeniería matemáticas,5 stars
excelente video eduardo cómo relaciona investigación matemática desarrollo algoritmos inteligencia artificial,5 stars
buen vídeo ilustrativo conciso tnx,4 stars
felicitaciones claro preciso sigue asi vida vamos convivir inteligencia artificial gracias,5 stars
haces entender fácil ojalá pronto segunda parte,4 stars
gracias compartir saber bendiciones,5 stars
encantó video muestra amplo campo ia cosas ma fascinantes conocido teoría matemática detrás hermosisima encantaria dedicarme completo estudio aplicación misma empezar dada vasta complejidad solo pequea parte conocimiento matemático dedicarme lleno ma minimum idea empezar si alguien supiera pudiera hacer ma estudios profundidad ello pudiera comunicármelo eternamente agradecido,5 stars
muchas graciasestoy curso ciencia datos ayudado comprender concepto,5 stars
vaya justo vídeo q gustaría dedicarme futuro gracias,5 stars
woooo hiciste video pedí pasado muchas gracias encanta canal saludos chile,5 stars
vídeos interesantes muchas gracias divulgar temas,4 stars
entendí saber si pasaste captcha so robot tener etiquetadas imágenes contrario daría igual marcaras entonces ayudamos si etiquetando imágenes etiquetadas,1 star
aqui binarios my friend perfecto evitar futuros problemas,5 stars
eduardo amamos crack mil gracias,5 stars
pase meses materia ia comprenderla video comprendí menos minutos,2 stars
hola ingeniero machine learning aveces xgboosters superan redes neuronales buen video xgboosters refiero gradiente descendiente,5 stars
ia crea canal matemáticas mejor derivando eduardo cree,3 stars
gracias aportes saludos venezuela,5 stars
simple taxista ando aquí disfrutando cosas entiendo pondré práctica,3 stars
gran explicación inteligencia artificial gustó cómo explica conceptos manera tan clara fácil entender tipo contenido ayuda desmitificar ia entender verdadero potencial,5 stars
buen resumen forma explicar excelente video,5 stars
wooooooow bien explicado claro profundo mil gracias,5 stars
interesante desarrollo aunque siempre puede ser tan cierto acertar mente humana cuanto interpretación datos,3 stars
super interesante video profesor creciente crecimiento app inteligencia artificial chat gpt bueno video respecto,5 stars
justamente aprendiendo knn semana,5 stars
buen tema buen canal hora dejar lado ver video,4 stars
muchas gracias compartir excelente canal,5 stars
pasarás eternidad cielo infierno dios quité vida jesucristo viene pronto salva alma ahora ay tiempo maana puede ser tarde santidad nadie verá seor jesucristo escapa x vida llamás eternas,5 stars
alegro sigas aqui,1 star
saludos ecuador sigue adelante edu excelente contenido,5 stars
gracias video ia aos atrás recién ánimo saber tecnología llamada disruptiva video puesto día ia términos comprendí perfectamente ayudando seguir entendiendo desarrollo ia do aos fascinada gracias didaáctica clarísina si escucha unas cuantas veces menos comprendí general ia algorithm técnicas momento redes neuronales continúan reinando entendía bien gracias millón gracias seor veré,5 stars
hace leí descubrimiento ver matemáticas visto descubierto organismo unicelular cerebro hace cálculos matemáticos desplazarse podrías hacer video explicando cómo posible,1 star
excelente explicación gracias totales,5 stars
esperamos expectativas video opinión chat gpt nuevas inteligencias artificiales gracias hacer ciencia matemática atractiva divertida,5 stars
mejor explicación encontrado después ver video artículos divulgación salen abstracciones dan hecho entendieron tema términos usan,1 star
excelente video muchas gracias pregunta posible puedas colgar literatura relacionada descripción video ganas profundizar abrazo,5 stars
simplemente brillante admiración,5 stars
genial video justo empecé tener interés temas subes video siento agradecido arriba,5 stars
ahi creo funciona así puedas continuar debes acertar dnd imagenes programa valida si supiera podrías superar captcha incluso equivocandote,3 stars
temprano matemáticas algoritmos aquí vamos,4 stars
sr cabezón entendible bueno realice video actualizado fecha ayudarnos siempre hace tiempo referente ia varió bastante saludos argentina,4 stars
buenos vídeos podrías hacer vídeo alguno problemas matemáticos película good will hunting gracias,4 stars
clarisimo buena explicacion ojala cosas vayan bien,4 stars
justo apenas empecé máster ia universidad uk mayoría piensa solo bot sencillo ia potencial,1 star
libro recomiendas estudiar base iacreo ver regresiones patrones,4 stars
parece bastante interesante forma abordas temas excelente video gustaría sigas hablando temas video,4 stars
aplica enemigos videojuego,5 stars
podrías hacer vídeo matemáticas redes neuronales,3 stars
genial divulgar muchas gracias,5 stars
interesante bien explicado siempre gracias refrescar verano,4 stars
tal vez ver agradezco cada cientifico cada investigador cada persona envuelta desarrollo avanzes tecnologias ayudan mejorar humanidad gracias ia software ma verdad siento sumamente agradecido realmente quiero persona mejor vida posible pues merecen aporte dan sociedad medio optimizacion tareas tediosas increible asi cualquier persona involucrada desarrollo ia investigacion tecnologia mejorar vidas cualquier forma respeto,5 stars
participaba taller machine learning entretenido entrenar máquina luego consultarle según aprendió,4 stars
excelente explicacion gusto aprendi,5 stars
si movimiento bueno probable repita partida ajedrez ejemplo acaso lor ordenadores saben causalidad solo comparan resultados después jugar millones veces saber realmente cada moviendo separado bueno sino movimiento calificado bueno si partida victoriosa,3 stars
wow c vi vi encantó,5 stars
aquí binarios my friend parto contigo muchas gracias eduardo vídeo genial saludos madrid,5 stars
gracias información tiempo prestado,4 stars
