comment,sentiment
¡Apúntate al Club de la IA! Grupo de Whatsapp conmigo y otros cientos de locos por la IA: https://www.jonhernandez.education/clubdelaia,5 stars
"DeepSeek es un modelo buenísimo, hoy estuve hacirndo consultas dobre legislación española, provee ejemplos y hace cálculos, da referencias y hasta agradece y saluda con emoticones.",5 stars
"Una cosa importante es que deepseek es open source y rompe el oligopolio de las grandes empresas, ahora las empresas pequeñas pueden tener su propio modelo al nivel del mejor del mercado corriendo en sus servidores, y evitar depender de los servidores de openAI, ahora yo voy a tener mas posibilidades de tener modelo privado corriendo en AWS, o digital ocean o en mi micro data center generando mas competencia y bajando los costos.",5 stars
"Estamos en enero 2025 y ya presenciamos una competencia feroz de empresas de IA.

Va a ser excitante 2025.",1 star
"Yo lo que sé es que en lo que va de semana, no hay quien saque trabajo con el por estar todos los servidores ocupados.
Eso sí, lo que he obtenido del modelo gratuito (vía web) es alucinante. Es muy muy válido.",5 stars
"Buen día Jon, saludos desde ARG, gracias x toda la info q siempre ️ brindas...te agradezco...",5 stars
"Excelente tu vision y analisis. Que manera de explicar, super.",5 stars
"Extraordinario análisis, de lo mejor que he visto en éstos dias. Gracias por éste contenido.",5 stars
"Impresionante análisis sobre DeepSeek y su impacto en la IA y los mercados , explicas todo con claridad y profundidad, ¡brutal contenido!",5 stars
"Excelente video Jhon, y la cereza del  pastel la explicación de la paradoja y su aplicación en este caso,muchas gracias",5 stars
Me encanta eres súper inteligente y disfruto mucho tu podcast. Gracias,5 stars
Democratización de la tecnología,5 stars
"Excelente análisis de lo ocurrido después  del lanzamiento de DeepSeek, tanto en el mercado bursátil de USA, como lo que han hecho los chinos y lo que viene ahora para el resto de los participantes del mercado de las IA.",5 stars
"Excelente, análisis, comparto dos conclusiones esto no es una burbuja sino que acelera, si cuando ocurrió pensé en el ejemplo justo de los carburantes, también pienso que seguramente algo más de coste les llevaría, porque seguramente no estará incurrido los prueba y error, creo que si han dado con alguna tecla, que perfectamente al ser también una empresa financiera puedan haber visto la jugada de los mercados y posiblemente , si el mercado y las prohibiciónes se lo permiten se habrán forrado comprando acciones a saldo de algunas empresas como nvidia...al final hay dos caminos en paralelo , los avances tecnológicos y por otro lado la guerra fría ...seguro que si prueba el modelo dirán porque no es interese que cuesta más y los otros seguro que les habrá costado , seguramente sabremos lo que quieran que sepamos",4 stars
"sino es por deepseek, openAI no se habria planteado ir ""mas rapido"" para competir...",2 stars
Saludos desde Argentina. Jamás dejes de enseñarnos sobre I.A,5 stars
"Que alegría la competencia es sana y necesaria para avanzar en la tecnología, me parece valioso y un gran paso para escalar al siguiente nivel en la AI",5 stars
"Tremendo analisis, muchas gracias!",5 stars
"Exelente análisis de la situación, gracias por el video. En resumen se necesita mas dinero invertido se estan quedando cortos.",3 stars
"Muy buen análisis, solo un comentario ahí, el consumo de combustible fósil no se reduce solo a los automóviles, hay muchas otras variables ahi, por ejemplo la turbosina y variaciones de productos derivados del petrolero, pero si entendimos el punto de tu ejemplo. Me gustó mucho el video",4 stars
"Muy bien explicado, sin clickbaits ni sensacionalismo. Resuscrito",5 stars
"buena info profe, muy bien explicado",4 stars
Excelente informe y el futurible de la IA.!!,5 stars
"Coincido totalmente en lo que argumentas. Es una carrera por la AI, la economía y el llamado a ser Potencia Mundial y se vale todo (que no debería de ser).",5 stars
"Excelente explicación! Una acotación, ahora se consume muchísimo mas petróleo porque se usa para prácticamente todo. Hay un numero muy grande de productos que llevan derivados.",5 stars
Tremenda clase! el nombrar la paradoja de jevons fue muy interesante,5 stars
Al fin encontré un canal que sabe trata estos temas sin tantas vueltas,5 stars
"La cuestión de todo esto es que nos llevan por donde quieren, pueden hacer las tropelías que sean necesarias que ya no somos capaces como sociedad de reaccionar. Se ve claramente que esto maneja sociedades al antojo de lo lideres y nos da igual. Como un dia se apague esto vamos a flipar.",2 stars
Muy buena explicacíón. Me quedó clara la película,5 stars
"Oye soy mayor y no se ni siquiera  sistemas,  pero me esta gustando mucho esto de  I.A, Pero entendi muy bien Tu mensaje. Gracias",4 stars
Tiempos excitantes los que estamos presenciando,3 stars
Gracias! magnífico análisis!,5 stars
"¿Pero como van a mentir sobre la eficiencia de computo en la inferencia, si cualquiera puede instalarselo en un PC potente y comprobarlo, en lugar de demandar todo un datacenter? Ahi no hay conspiracion alguna. Los chinos les han optimizado x100 la eficienca de estos sistemas.",2 stars
"Me encanta tu análisis. Supongo que hay que darle tiempo para ver si era ""sólo un montón de humo, o si realmente hay un incendio feroz detrás de esto""",5 stars
"Genial, esto tiene tanto de largo como de ancho, vamos a ver que diferencias me va a dar en el análisis de un guión. saludos.",5 stars
Estás hecho un visionario !!!,5 stars
"Muy buen video!! Una duda, con deepseek también se podrían hacer gpts entrenados para funciones concretas? Un saludo",4 stars
"Yo lo que veo es que cada vez que una empresa china logra algo le llueven cubos de mierda encima y ... ya cansa. China tendrá el gobierno que sea pero no se puede negar los avances sociales, económicos y tecnológicos que ha conseguido. Me da la impresión de que los inversores en Nvidia si han creído que Deepseek ha tenido los costes que dice haber tenido, sino, no hubieran vendido sus acciones.",1 star
Muy buen informe!,5 stars
OpenAI ha lanzado recientemente los modelos O3 Mini y O3 Mini High. ¡Qué locura!,5 stars
Enhorabuena!!!! Muy bien explicado. (Me suscribo a tu canal para estar al d_IA ),5 stars
"Es super hilarante observar a los adalides del ultraliberalismo como Elon Musk mutar en ""Capitán Proteccionismo"" cuando les mueven un poco el árbol",5 stars
abaratr al menos :) a ver este video ! gracias,5 stars
"Eso pasa por subestimar a los chinos...y conociéndolos, seguro tendrán más cosas bajo la manga.",2 stars
"Simplemente deepseek reventó lo presupuestado y la futura recuperación de la inversión, por más que insistan que la nueva competencia acelerará la carrera y la demanda de insumos materiales; nadie estará dispuesto a pagar e invertir a los mismos precios.",1 star
Me encanta esta época que estamos viviendo de ia . Tantos cambios interesantes.,5 stars
Lo del consumo me recuerda a cuando los políticos crean más carreteras para reducir el tráfico y lo único que generan es más tráfico porque la gente piensa que al haber más carreteras conducirán sin tanto tráfico y salen todos en tromba.,3 stars
Excelente video,5 stars
