comment,sentiment
Gracias mi canal favorito un saludo desde suiza 🇨🇭,5 stars
"Creó que se equivocó no era Stargate, era Skynet",1 star
Habia escuchado de los anuncios de mas de 20 minutos en Youtube pero no me esperaba que fuera real,2 stars
Eso mismo decian antes de llegar deeseek y ahora los tiene es ascuas,1 star
Gracias muy bueno y saludable.,5 stars
"La mentalidad de estados unidos 
Es:
Yo soy el mejor en todo y si no lo soy en algo nadie lo es",5 stars
"Me encantan tus videos, son realmente informativos ️",5 stars
"Buen dato, espero esto sea para el bien común y no le estén poniendo la soga al cuello a toda la humanidad",4 stars
Excelente contenido,5 stars
"La ecuación es muy simple, el ser humano está envejeciendo, es decir nos estamos llenando de viejos y hay que estar preparados para afrontar lo que ello conlleva(enfermedades, cuidados etc) es inminente el uso de inteligencia artificial ya que serán los cimientos que soporten la nueva era.",2 stars
"Para cuando estados unidos consiga un avance en estas nuevas inversiones, china ya les llevará años de ventaja. Justo como ahora.",5 stars
"Aun es pronto ed un camino largo, los resultados lo verán dentro de 40 a 50 años, el mundo sera diferente junto a una generación de humanos diferentes.",4 stars
"Ojo! Es anuncio DICE:Stargate, NO ES STAR LAKES.",1 star
Buena informacion,4 stars
Tres. Gracias TRUMP,3 stars
"Alguien más notó el parecido scanet ""scainet""",1 star
"Y que pasa cuando la iA sea autónoma, y no es necesario que lo configuren para hacerlo. Según sea los objetivos que tenga con el proyecto, puede llagar hacerlo en corto tiempo. Y quien va poder controlar a un ser que 10veces más inteligente que cualquier otro científico, que entiende y sabe de diferentes materia desde las matemáticas hasta las sociales. Deberían de pensar que las IA son un herramienta de doble filo, que más temprano que tarde perderemos totalmente el control. Si es que no lo está haciendo ya",3 stars
y que paso antes de la creacion de scarlet ? pues...,1 star
Despues de Deepseek el proyecto Stargate seria una broma de mal gusto para los inversores.,1 star
Q bien,4 stars
"si la ia mejora es para bien y mal. 
Las armas nunca fueron buenas o malas , las que los empuñan son los que son una u otra cosa.",2 stars
mientras ellos dicen que es muy poco dinero otros dicen como deepseek que lo pueden hacer mucho mas barato. Al fin que?,1 star
Trump está haciendo a América grande otra vez!,5 stars
TRUMP VAS HACER NUEVAMENTE A EEUU GRANDE,5 stars
Y en dos años China los vuelve a super con una inversión de 5MUSD.,5 stars
John Connor tenía razón skynet existe,1 star
Yo quiero invertir $10 USD.,1 star
Primero.,5 stars
Lo sabiaaa ninguno de esos tres son tontosss,1 star
Una burbuja,1 star
Únete al SAP Innovation Day Aquí: https://events.sap.com/es/sap-innovation-day-imparables/es/home?source=paid-email-ad-JonHernandez,5 stars
"Es alucinante la humillación que han recibido con DeepSeek. Abierto, barato, cadena de pensamiento. Les ha forzado a moverse. Qué grande!",5 stars
"Vi la notificación del OpenAI anunciando Deep Research, pero me dije: ""Bueno, ya mañana lo explicará Jon mejor"" :)
¡Sigan así con el canal!",5 stars
Nos traéis la actualidad semanal de un modo muy útil... Muchas gracias por vuestro gran trabajo.,5 stars
"Si consigues una AGI automáticamente obtienes una singularidad, si existe una singularidad ya es imposible controlar algo mas inteligente que nosotros.",2 stars
"No soy un abogado, y me pregunto si la nueva ley americana de IA, en caso de aprobarse, supone el fin de la publicación de ""papers"" de IA...

Lo que también significa el final del ""que inventen otros"" tan predominante en Europa: si los gobiernos europeos quieren crear IAs nacionales, van a tener que ponerse las pilas en investigación, o quedar condenados a replicar únicamente la tecnología que existe hasta ahora (que puede quedar obsoleta en poco tiempo).",1 star
Osea que si se podía más barato?   Nos querían ver la cara,2 stars
Esto me hace recordar al sujeto que botaron de Google por decir que la IA tenía conciencia pues al parecer según el padrino de la IA ya ocurrió...,3 stars
"Hola Jon, podrías compartir por X el informe sobre las relaciones entre EEUU y China que te ha hecho deep research para que podamos analizar más a fondo qué tal es el resultado? Muchas gracias!!",5 stars
"hermano los políticos no son ninguna solución nunca, no sirven ni para las cosas mundanas, menos van a servir en el campo que abre la IA. los que tienen que debatir son solamente los tecnicos y profesionales en foros abiertos y mediante DAOs (Decentralized Autonomous Organization) registrando el voto de cada especialista en la blockchain para ver en todo momento y lugar quien fue el responsable de cada voto",1 star
Se vienen cositas!,3 stars
"Excelente  @JonHernandez, ya nos tenes acostumbrados con estos videos bien completos.. gracias!",5 stars
"¡Increíble análisis! Este contenido es top, claro y actualizado. Gracias por mantenernos al día con IA.",5 stars
"Que tal Jon. Gracias al tema de DeepSeek encontre tu canal sobre IA y lo estoy siguiendo, realmente muy interesante y necesario. El tema que hoy tocas sobre los primeros atisbos de Conciencia en la IA me parece algo que siempre nos ha preocupado, sobretodo pensando en la posibilidad futura de fusion entre lo artificial y lo biologico. Una de las persona que ha tocado este tema de la Conciencia en la IA fue Howard Gardner, conocido por el tema de las Inteligencias Multiples, un tema apasionante. Les dejo este link donde Gardner toca este tema de la Conciencia en la IA y que creo les puede interesar a muchos. Un saludo desde la hermosa isla de Malta y por supuesto seguire los siguientes programas de tu canal con tan buena informacion y actualidad sobre el tema de la IA. Aca les dejo el link del video:

https://youtu.be/sKv_4ADKnYs?si=9GmCYmTGtx6mICqi",4 stars
