comment,sentiment
convierte idea negocio rentable inteligencia artificial rápido fácil aprende chatgpt cero mejor curso online principiantes si comenzando usar inteligencia artificial quieres crear imágenes vox textos manera fácil sencilla barata usa creapro entra mejor curso online crecer youtube ganar dinero canal aprende conseguir clientes aprovechando máximo mundo online inteligencia artificial programa go aprende editar vídeos profesional mejor curso online suscríbete newsletter gratuita inteligencia artificial mantente día visita periódico digital inteligencia artificial entra nuevo canal privado gratuito whatsapp publico información exclusiva digo ningún lugar,5 stars
super viene ma siempre ocupe trabaje responsabilidad respeto felicidades canal diario apasionante javier gracias sv,5 stars
ve tan real wow excelente video master,5 stars
hola javier saludos chile tecnico audiovisual profesion gracias dios verdad sucede ia paso invento tv decian cine iba morir causa tv nunca asi asi cosas parte historia audiovisual siempre habra gente querra adaptarse quedaran obsoletos idea adaptarme nuevas herramientas ia saludos,1 star
hola estimado javier ahora dejaste boca abierta decimos acá méxico dejaste chiva jajaja vi video sugeriste pondré práctica saludos bendiciones,1 star
saludos bendiciones maracaibo venezuela,5 stars
graciasse nota gusta hacesy da ma valor trabajo,5 stars
probado varias ia generar video siempre termino utilizando kling creo mejores si mejor saludos,3 stars
hola muchas gracias aporte general buenas herramientas si compartido busque video encontré avatar parlante movimientos labios hedra mostraste hace tiempo visto tutoriales inglés puede hacer largo gratis mezcla herramientas algún momento enredado tutoriales visto espaol avatar da opción subir imagen cobran mencioné previamente si explicación idioma veces van velocidad luz varias herramientas enredas ojalá puedas subir así gracias,3 stars
hola javier foto famoso beso amiga murió septiembre subi fcoto ala nube puede recuperar ahora gracias canal recupere hemocione gracias javier,1 star
minutos jajaja verdad sabia usar chat gpt enserio solo explicando quiere da ahora quiero hacer dinero quiern apalancarme algun taller hacer modelos ia video buen video,1 star
veo hiciste texto imagen conseguiste hacerlo consistente mediante texto video imagen video,3 stars
hola javier puedo hacerlo apartir image,1 star
amigo colombia video haces pront salgan mejores tomas cámara seria espectacular creo acá publico agradecería,5 stars
posible hacer video subiendo foto umhhhh necesito gracias excelentes video,5 stars
probe funcion camara expectacular unico problema hailuo ai sigue prompt bien hace kling ai pues casi movimiento personaje aun todavia video comparan kling ai pues aun todavia puede ver problemas renderizar personaje especial si personaje fantasia hago pues solo camara mueve bien pelicula hailuo ai tambien arreglar forma generan video pues kling ai continuum haciendo video mejores hailuo ai,3 stars
excelente javi,5 stars
excelente javier bueno usarlo gracias,5 stars
hola buena información regalas muchas gracias respecto tema derechos autor música letra youtube puede sancionar canal,4 stars
parece interesante exelente idea vídeo clip desventaja hailuo siempre demasiado colapsado puedes tardar horas generar escena,3 stars
waw voy usar video música,1 star
extraordinario,5 stars
llevar,5 stars
bastante bien aunque continuidad tatuajes deja desear quizas genere mejores personajes tatoos,3 stars
excellent,5 stars
hace semana adquiri versión paga fliki realidad decepcionada asi buscando opción ia haga video largo realidad ahorre trabajo fliki lento parte tocando gastar horas editar misma video plataforma fin ninguna gracia hecho jejej,1 star
mucha creatividad crear tipo vídeos puedes decir cómo puedo ofrecer vendelos solo basta subirlos youtube gracias orientación,5 stars
bueno,4 stars
eeeeeeeeeeeeee f si cabeza cara barbilla terriblemente separada cuello mira video primero mira modelo modelo nota natural molesta mirar entorno pues distrae cosas extraa distraecreo bien complicaciones aun falta muchisimo gustaria alguna perfecto maldad proliferando sabéis usará mal bien,1 star
si descarga video stock youtube libre derechos autor,1 star
opcion pago deja hacerlos cuantos minutos,1 star
